"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Orti","433593983",10132000,10350000,218000,2.2
"LePiKnight","739753451",4742500,4800000,57500,1.2
"MstrGlnz","799351711",4185000,4200000,15000,0.4
"Rex47","798815731",3818500,3880000,61500,1.6
"daschau","226855656",5102000,3757500,-1344500,-26.4
"OutOfSync","283623251",4725000,3615000,-1110000,-23.5
"Robby","522696616",3636000,3450000,-186000,-5.1
"Fuchsvox","641514839",4369000,3372500,-996500,-22.8
"Kain","522872321",3544500,3300000,-244500,-6.9
"ChrisAtom","345268356",2452500,3120000,667500,27.2
"KGJ Charon","142491448",2799000,3000000,201000,7.2
"Burrock Alshain","225746713",2111500,2400000,288500,13.7
"Schpucky","912624274",2215500,2400000,184500,8.3
"DarthJarJar","452461362",1953000,2400000,447000,22.9
"Der Wookietreiber","546687834",5042000,2225000,-2817000,-55.9
"VH Andarias","222152243",1976500,2185000,208500,10.5
"HeteroMain","174495853",1974500,2100000,125500,6.4
"APE4711","451595638",2237500,2100000,-137500,-6.1
"Dovahkiin","431699179",1996500,2100000,103500,5.2
"Bobstar","266544178",2562500,2072500,-490000,-19.1
"Blackbeduin","878326755",2618500,2010000,-608500,-23.2
"MadDevil","195912141",2220000,1890000,-330000,-14.9
"Tassadar","669183938",1988500,1800000,-188500,-9.5
"DerMod","442821643",2197000,1762500,-434500,-19.8
"KGJ Black","351611246",2217000,1665000,-552000,-24.9
"Rosen","135146553",2774500,1630000,-1144500,-41.3
"nemesis","253341728",2002500,1605000,-397500,-19.9
"Oxla","689238935",2222000,1555000,-667000,-30
"Ado the One","123322676",2293000,1486250,-806750,-35.2
"Gul Ski","941576198",1596500,1445000,-151500,-9.5
"Pax One","543791837",4180500,1440000,-2740500,-65.6
"Schwede","317391345",3881000,1430000,-2451000,-63.2
"BΛ Schl8er","911254934",2271000,1410000,-861000,-37.9
"Orti der Zweite","373292463",1762500,1350000,-412500,-23.4
"Placro","349942945",1777000,1210000,-567000,-31.9
"Ren","286471215",1386000,1200000,-186000,-13.4
"kado","874216638",1571500,1200000,-371500,-23.6
"Denny","222474987",2182500,1200000,-982500,-45
"Maxim","916127498",1839500,1177500,-662000,-36
"AnakinSkywalker","699293926",1564000,1175000,-389000,-24.9
"Vader1009","212864995",1382000,1155000,-227000,-16.4
"Operator","635613754",1487000,1155000,-332000,-22.3
"Imperator","314986458",1907500,1150000,-757500,-39.7
"SjayB","937411436",1622000,1115000,-507000,-31.3
"Boss Tuka","672545795",4656000,1077500,-3578500,-76.9
"Steiner83","184414321",1933000,1070000,-863000,-44.6
"BΛ Dipech","224956394",2211000,945000,-1266000,-57.3
"Ol Kilia","315756931",3140500,0,-3140500,-100
