"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Orti","433593983",13565500,13620000,54500,0.4
"Okul Grana Tapfel","639415991",13457500,3600000,-9857500,-73.2
"Schwede","317391345",11626500,8362500,-3264000,-28.1
"OutOfSync","283623251",11573000,12600000,1027000,8.9
"Robby","522696616",11446000,10500000,-946000,-8.3
"MstrGlnz","799351711",11231000,11467500,236500,2.1
"Katan","781558378",11220500,12000000,779500,6.9
"Boss Tuka","672545795",11163000,7785000,-3378000,-30.3
"KGJ Charon","142491448",10830500,9900000,-930500,-8.6
"Der Wookietreiber","546687834",10729500,7162500,-3567000,-33.2
"Kain","522872321",9572500,6300000,-3272500,-34.2
"Pax One","543791837",9270500,7800000,-1470500,-15.9
"daschau","226855656",8882500,3600000,-5282500,-59.5
"Fuchsvox","641514839",8839000,6615000,-2224000,-25.2
"Darthösi","359794261",8235000,6180000,-2055000,-25
"Dobfi","543535531",8231000,7850000,-381000,-4.6
"MadDevil","195912141",8211500,7320000,-891500,-10.9
"Tassadar","669183938",8072500,7880000,-192500,-2.4
"DarthJarJar","452461362",7940000,8700000,760000,9.6
"Sorzus Syn","721767943",7630000,7500000,-130000,-1.7
"Geilo Rain","419931662",7190000,7125000,-65000,-0.9
"SjayB","937411436",7185500,6367500,-818000,-11.4
"Pathja","226191337",7165500,7500000,334500,4.7
"Vader1009","212864995",7119500,3600000,-3519500,-49.4
"HeteroMain","174495853",6399000,7200000,801000,12.5
"Bobstar","266544178",6219000,4650000,-1569000,-25.2
"Steiner83","184414321",5658000,3150000,-2508000,-44.3
"ChrisAtom","345268356",5612000,5767500,155500,2.8
"BΛ Schl8er","911254934",5562500,4055000,-1507500,-27.1
"Rosen","135146553",5325000,3667500,-1657500,-31.1
"Burrock Alshain","225746713",5270000,5527500,257500,4.9
"Gul Ski","941576198",5242000,5400000,158000,3
"VH Andarias","222152243",4848000,2820000,-2028000,-41.8
"Warshade","815859959",4834500,5400000,565500,11.7
"AnakinSkywalker","699293926",4788000,3100000,-1688000,-35.3
"Beskarschmied","689238935",4633000,4500000,-133000,-2.9
"Dovahkiin","431699179",4490000,4950000,460000,10.2
"Denny","222474987",4346000,3150000,-1196000,-27.5
"BΛ Dipech","224956394",4322000,3000000,-1322000,-30.6
"kado","874216638",4211000,4500000,289000,6.9
"Blackbeduin","878326755",4016000,3277500,-738500,-18.4
"APE4711","451595638",3985500,4050000,64500,1.6
"DerMod","442821643",3938500,4226250,287750,7.3
"nemesis","253341728",3843500,2565000,-1278500,-33.3
"Ado the One","123322676",3778500,2280000,-1498500,-39.7
"KGJ Black","351611246",3711500,2355000,-1356500,-36.5
"Schpucky","912624274",3371000,4515000,1144000,33.9
"Operator","635613754",3210500,2985000,-225500,-7
"Maxim","916127498",2825000,1840000,-985000,-34.9
"Hammel90","135841859",2120000,2100000,-20000,-0.9
