"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Schpucky","912624274",3345000,4500000,1155000,34.5
"ChrisAtom","345268356",3542000,4410000,868000,24.5
"Kain","522872321",4693500,5400000,706500,15.1
"Vader1009","212864995",1888000,2100000,212000,11.2
"HeteroMain","174495853",2304500,2550000,245500,10.7
"Sorzus Syn","721767943",3204000,3465000,261000,8.1
"OutOfSync","283623251",8265500,8880000,614500,7.4
"Pathja","226191337",2403500,2550000,146500,6.1
"Gul Ski","941576198",1844500,1950000,105500,5.7
"Dovahkiin","431699179",3413500,3600000,186500,5.5
"Burrock Alshain","225746713",3096000,3232500,136500,4.4
"APE4711","451595638",2289000,2340000,51000,2.2
"Tassadar","669183938",4416000,4500000,84000,1.9
"VH Andarias","222152243",3067500,3117500,50000,1.6
"Warshade","815859959",4168500,,,
"Orti","433593983",11424000,11400000,-24000,-0.2
"DerMod","442821643",3908500,3880000,-28500,-0.7
"Geilo Rain","419931662",1159500,1140000,-19500,-1.7
"Pax One","543791837",5577000,5482500,-94500,-1.7
"Operator","635613754",2172000,2085000,-87000,-4
"Dobfi","543535531",4024500,3725000,-299500,-7.4
"Fuchsvox","641514839",5954000,5482500,-471500,-7.9
"Robby","522696616",4466500,3900000,-566500,-12.7
"Oxla","689238935",2998500,2587500,-411000,-13.7
"Imperator","314986458",2012500,1725000,-287500,-14.3
"MadDevil","195912141",5181000,4410000,-771000,-14.9
"Blackbeduin","878326755",2655000,2255000,-400000,-15.1
"KGJ Charon","142491448",7763000,6300000,-1463000,-18.8
"Hammel90","135841859",1709500,1360000,-349500,-20.4
"daschau","226855656",6334500,4852500,-1482000,-23.4
"Denny","222474987",3666000,2805000,-861000,-23.5
"MstrGlnz","799351711",5494000,4200000,-1294000,-23.6
"Orti der Zweite","373292463",2025500,1500000,-525500,-25.9
"Darthösi","359794261",7541000,5550000,-1991000,-26.4
"Bobstar","266544178",4851500,3450000,-1401500,-28.9
"kado","874216638",2569500,1800000,-769500,-29.9
"KGJ Black","351611246",2270000,1585000,-685000,-30.2
"BΛ Dipech","224956394",2258500,1575000,-683500,-30.3
"AnakinSkywalker","699293926",1867500,1200000,-667500,-35.7
"nemesis","253341728",2944500,1880000,-1064500,-36.2
"Maxim","916127498",2183000,1362500,-820500,-37.6
"SjayB","937411436",4403000,2670000,-1733000,-39.4
"BΛ Schl8er","911254934",3412500,2027500,-1385000,-40.6
"Schwede","317391345",7498500,4075000,-3423500,-45.7
"Ado the One","123322676",3264500,1732500,-1532000,-46.9
"DarthJarJar","452461362",4261000,2190000,-2071000,-48.6
"Steiner83","184414321",4495500,2250000,-2245500,-49.9
"Rosen","135146553",4763500,2120000,-2643500,-55.5
"Boss Tuka","672545795",6917000,2995000,-3922000,-56.7
"Der Wookietreiber","546687834",7392000,3002500,-4389500,-59.4
