"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"DarthJarJar","452461362",2000000,2400000,400000,20
"Tassadar","669183938",2016000,2400000,384000,19
"VH Andarias","222152243",1978500,2355000,376500,19
"Burrock Alshain","225746713",2114500,2400000,285500,13.5
"Gul Ski","941576198",1596000,1765000,169000,10.6
"ChrisAtom","345268356",2453000,2685000,232000,9.5
"HeteroMain","174495853",2231500,2400000,168500,7.6
"Dovahkiin","431699179",1998500,2100000,101500,5.1
"LePiKnight","739753451",4742500,4950000,207500,4.4
"Ren","286471215",1386000,1445000,59000,4.3
"Orti","433593983",10086500,10420000,333500,3.3
"famos","216849555",1378000,,,
"Geilo Rain","419931662",1104000,,,
"Hammel90","135841859",1704500,,,
"Robby","522696616",3746000,3600000,-146000,-3.9
"OutOfSync","283623251",4724000,4532500,-191500,-4.1
"MstrGlnz","799351711",4668000,4350000,-318000,-6.8
"Rex47","798815731",4157000,3835000,-322000,-7.7
"APE4711","451595638",2237500,2040000,-197500,-8.8
"Vader1009","212864995",1583500,1440000,-143500,-9.1
"Kain","522872321",4500500,3900000,-600500,-13.3
"nemesis","253341728",2003500,1710000,-293500,-14.6
"Operator","635613754",1663000,1375000,-288000,-17.3
"DerMod","442821643",2201500,1800000,-401500,-18.2
"SjayB","937411436",1621500,1315000,-306500,-18.9
"daschau","226855656",5154500,3990000,-1164500,-22.6
"Blackbeduin","878326755",2618500,2015000,-603500,-23
"Orti der Zweite","373292463",1762000,1350000,-412000,-23.4
"Imperator","314986458",1906500,1427500,-479000,-25.1
"AnakinSkywalker","699293926",1564000,1165000,-399000,-25.5
"KGJ Charon","142491448",2933500,2182500,-751000,-25.6
"Oxla","689238935",2221500,1650000,-571500,-25.7
"kado","874216638",1572000,1155000,-417000,-26.5
"Bobstar","266544178",2532500,1845000,-687500,-27.1
"Schpucky","912624274",3331500,2400000,-931500,-28
"Ado the One","123322676",2293000,1575000,-718000,-31.3
"BΛ Dipech","224956394",2211000,1520000,-691000,-31.3
"KGJ Black","351611246",2217000,1465000,-752000,-33.9
"BΛ Schl8er","911254934",2385500,1540000,-845500,-35.4
"Maxim","916127498",1871000,1195000,-676000,-36.1
"Rosen","135146553",2927000,1855000,-1072000,-36.6
"Placro","349942945",1779500,940000,-839500,-47.2
"Steiner83","184414321",2976500,1487500,-1489000,-50
"Der Wookietreiber","546687834",4991500,2320000,-2671500,-53.5
"MadDevil","195912141",3838000,1755000,-2083000,-54.3
"Pax One","543791837",4215000,1817500,-2397500,-56.9
"Denny","222474987",3653500,1440000,-2213500,-60.6
"Fuchsvox","641514839",5387000,1800000,-3587000,-66.6
"Boss Tuka","672545795",4871500,1417500,-3454000,-70.9
"Schwede","317391345",3826000,840000,-2986000,-78
