"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Orti","433593983",11030500,10350000,-680500,-6.2
"OutOfSync","283623251",6721500,5700000,-1021500,-15.2
"Schwede","317391345",6450500,2375000,-4075500,-63.2
"Der Wookietreiber","546687834",5814000,1995000,-3819000,-65.7
"Fuchsvox","641514839",5764000,3025000,-2739000,-47.5
"daschau","226855656",5526000,5752500,226500,4.1
"Pax One","543791837",5457000,2850000,-2607000,-47.8
"LePiKnight","739753451",5387500,5317500,-70000,-1.3
"MstrGlnz","799351711",5128000,5100000,-28000,-0.5
"Boss Tuka","672545795",5118000,2675000,-2443000,-47.7
"MadDevil","195912141",4557000,2425000,-2132000,-46.8
"Kain","522872321",4503500,4050000,-453500,-10.1
"Rex47","798815731",4395500,3810000,-585500,-13.3
"Robby","522696616",4359500,3900000,-459500,-10.5
"KGJ Charon","142491448",4316500,3300000,-1016500,-23.5
"Steiner83","184414321",4313000,1500000,-2813000,-65.2
"Denny","222474987",3655000,1280000,-2375000,-65
"Rosen","135146553",3494000,2312500,-1181500,-33.8
"Schpucky","912624274",3347000,2400000,-947000,-28.3
"ChrisAtom","345268356",2960500,3075000,114500,3.9
"Bobstar","266544178",2940500,2100000,-840500,-28.6
"BΛ Schl8er","911254934",2934500,1680000,-1254500,-42.8
"Tassadar","669183938",2912000,2780000,-132000,-4.5
"Ado the One","123322676",2847000,1647500,-1199500,-42.1
"SjayB","937411436",2650000,1615000,-1035000,-39.1
"Blackbeduin","878326755",2621000,2115000,-506000,-19.3
"DarthJarJar","452461362",2611500,2550000,-61500,-2.4
"VH Andarias","222152243",2555500,2490000,-65500,-2.6
"Dobfi","543535531",2362500,,,
"Dovahkiin","431699179",2348500,2100000,-248500,-10.6
"APE4711","451595638",2287000,2340000,53000,2.3
"Oxla","689238935",2285000,1595000,-690000,-30.2
"HeteroMain","174495853",2273500,2400000,126500,5.6
"Pathja","226191337",2273000,,,
"Burrock Alshain","225746713",2269500,2550000,280500,12.4
"KGJ Black","351611246",2267500,1565000,-702500,-31
"BΛ Dipech","224956394",2258500,1510000,-748500,-33.1
"DerMod","442821643",2250500,2028750,-221750,-9.9
"nemesis","253341728",2139000,1600000,-539000,-25.2
"Maxim","916127498",2116500,1427500,-689000,-32.6
"Sorzus Syn","721767943",2084000,,,
"Imperator","314986458",2012000,1765000,-247000,-12.3
"Operator","635613754",1886500,1380000,-506500,-26.8
"Hammel90","135841859",1708000,800000,-908000,-53.2
"Gul Ski","941576198",1645500,967500,-678000,-41.2
"Vader1009","212864995",1585000,1665000,80000,5
"kado","874216638",1573000,1200000,-373000,-23.7
"AnakinSkywalker","699293926",1565500,1125000,-440500,-28.1
"Ren","286471215",1386000,1460000,74000,5.3
"Geilo Rain","419931662",1161000,1015000,-146000,-12.6
