"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Orti","433593983",11419500,11320000,-99500,-0.9
"OutOfSync","283623251",7842000,7950000,108000,1.4
"Darthösi","359794261",5907500,6390000,482500,8.2
"KGJ Charon","142491448",5900500,6300000,399500,6.8
"MstrGlnz","799351711",5493000,5400000,-93000,-1.7
"Kain","522872321",4692500,5400000,707500,15.1
"Fuchsvox","641514839",5955000,4665000,-1290000,-21.7
"Tassadar","669183938",4416000,4500000,84000,1.9
"DarthJarJar","452461362",3584500,4350000,765500,21.4
"Rex47","798815731",4458000,4147500,-310500,-7
"Pax One","543791837",5578000,3915000,-1663000,-29.8
"Robby","522696616",4425000,3900000,-525000,-11.9
"ChrisAtom","345268356",3527500,3900000,372500,10.6
"Schwede","317391345",7499500,3825000,-3674500,-49
"Schpucky","912624274",3339500,3600000,260500,7.8
"Dovahkiin","431699179",3412000,3600000,188000,5.5
"VH Andarias","222152243",2929000,3055000,126000,4.3
"Denny","222474987",3656000,3000000,-656000,-17.9
"Bobstar","266544178",4632000,2852500,-1779500,-38.4
"Der Wookietreiber","546687834",5922000,2745000,-3177000,-53.6
"Burrock Alshain","225746713",2806000,2740000,-66000,-2.4
"MadDevil","195912141",4624000,2640000,-1984000,-42.9
"Oxla","689238935",2998500,2550000,-448500,-15
"Boss Tuka","672545795",6917000,2450000,-4467000,-64.6
"SjayB","937411436",4399500,2415000,-1984500,-45.1
"HeteroMain","174495853",2304000,2400000,96000,4.2
"DerMod","442821643",2557000,2395000,-162000,-6.3
"APE4711","451595638",2288500,2345000,56500,2.5
"Rosen","135146553",4761000,2340000,-2421000,-50.9
"Blackbeduin","878326755",2655000,2255000,-400000,-15.1
"Sorzus Syn","721767943",2675500,2235000,-440500,-16.5
"kado","874216638",1945500,2130000,184500,9.5
"Steiner83","184414321",4475000,2110000,-2365000,-52.8
"Pathja","226191337",2273500,2100000,-173500,-7.6
"Vader1009","212864995",1782500,1985000,202500,11.4
"BΛ Schl8er","911254934",3043000,1977500,-1065500,-35
"Gul Ski","941576198",1781000,1800000,19000,1.1
"Dobfi","543535531",2364000,1735000,-629000,-26.6
"Imperator","314986458",2012000,1722500,-289500,-14.4
"Ado the One","123322676",2885500,1625000,-1260500,-43.7
"Operator","635613754",2169000,1620000,-549000,-25.3
"KGJ Black","351611246",2267500,1575000,-692500,-30.5
"BΛ Dipech","224956394",2258500,1565000,-693500,-30.7
"Orti der Zweite","373292463",1760000,1350000,-410000,-23.3
"Maxim","916127498",2123000,1257500,-865500,-40.8
"daschau","226855656",5715000,1200000,-4515000,-79
"Hammel90","135841859",1708500,1185000,-523500,-30.6
"Geilo Rain","419931662",1161500,1140000,-21500,-1.9
"AnakinSkywalker","699293926",1566000,1080000,-486000,-31
"nemesis","253341728",2578500,0,-2578500,-100
