"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Okul Grana Tapfel","639415991",13420000,13800000,380000,2.8
"Orti","433593983",12392500,13620000,1227500,9.9
"OutOfSync","283623251",11573000,11565000,-8000,-0.1
"Katan","781558378",10280000,11250000,970000,9.4
"KGJ Charon","142491448",9299500,10582500,1283000,13.8
"daschau","226855656",8883500,8782500,-101000,-1.1
"Pax One","543791837",8343000,7845000,-498000,-6
"Fuchsvox","641514839",8837500,7845000,-992500,-11.2
"Robby","522696616",8343500,7722500,-621000,-7.4
"Der Wookietreiber","546687834",9822000,7702500,-2119500,-21.6
"Schwede","317391345",10203500,7500000,-2703500,-26.5
"Tassadar","669183938",7120500,7200000,79500,1.1
"Dobfi","543535531",7314000,7165000,-149000,-2
"MstrGlnz","799351711",8192500,6600000,-1592500,-19.4
"SjayB","937411436",7184500,6495000,-689500,-9.6
"Darthösi","359794261",8235500,6330000,-1905500,-23.1
"HeteroMain","174495853",6398000,6300000,-98000,-1.5
"MadDevil","195912141",7266500,6300000,-966500,-13.3
"Vader1009","212864995",7118000,6300000,-818000,-11.5
"Kain","522872321",8026500,6300000,-1726500,-21.5
"Sorzus Syn","721767943",6614500,6300000,-314500,-4.8
"Boss Tuka","672545795",9664000,6090000,-3574000,-37
"Gul Ski","941576198",5242000,5400000,158000,3
"Burrock Alshain","225746713",4692500,5332500,640000,13.6
"Warshade","815859959",4752000,5325000,573000,12.1
"DarthJarJar","452461362",5244500,5100000,-144500,-2.8
"Pathja","226191337",4750500,4800000,49500,1
"Dovahkiin","431699179",4484000,4800000,316000,7
"ChrisAtom","345268356",4728000,4650000,-78000,-1.6
"DerMod","442821643",3938000,4365000,427000,10.8
"Schpucky","912624274",3373000,4350000,977000,29
"Bobstar","266544178",6209500,4337500,-1872000,-30.1
"Beskarschmied","689238935",4587500,4200000,-387500,-8.4
"kado","874216638",4211000,4200000,-11000,-0.3
"APE4711","451595638",3770500,4050000,279500,7.4
"VH Andarias","222152243",4848500,4015000,-833500,-17.2
"Geilo Rain","419931662",4490000,3770000,-720000,-16
"Blackbeduin","878326755",3665000,3610000,-55000,-1.5
"Rosen","135146553",5277000,3555000,-1722000,-32.6
"Denny","222474987",4350000,3490000,-860000,-19.8
"BΛ Schl8er","911254934",5008500,3446250,-1562250,-31.2
"Operator","635613754",3211000,3330000,119000,3.7
"Steiner83","184414321",4676500,3150000,-1526500,-32.6
"nemesis","253341728",3843500,2855000,-988500,-25.7
"Ado the One","123322676",3752500,2555000,-1197500,-31.9
"BΛ Dipech","224956394",4307000,2250000,-2057000,-47.8
"AnakinSkywalker","699293926",4342500,2100000,-2242500,-51.6
"KGJ Black","351611246",3709000,1915000,-1794000,-48.4
"Hammel90","135841859",2119000,1885000,-234000,-11
"Maxim","916127498",2874500,1826250,-1048250,-36.5
