"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Orti","433593983",11415000,11310000,-105000,-0.9
"KGJ Charon","142491448",8811000,6667500,-2143500,-24.3
"OutOfSync","283623251",8469000,9450000,981000,11.6
"Darthösi","359794261",7753000,6090000,-1663000,-21.4
"Schwede","317391345",7499000,5097500,-2401500,-32
"Der Wookietreiber","546687834",7391500,4702500,-2689000,-36.4
"Boss Tuka","672545795",6918500,2962500,-3956000,-57.2
"daschau","226855656",6498500,6682500,184000,2.8
"Fuchsvox","641514839",6167000,5155000,-1012000,-16.4
"Robby","522696616",5659000,5100000,-559000,-9.9
"Pax One","543791837",5579000,5797500,218500,3.9
"MstrGlnz","799351711",5494000,5400000,-94000,-1.7
"Kain","522872321",5489500,5700000,210500,3.8
"Bobstar","266544178",5388500,3500000,-1888500,-35
"MadDevil","195912141",5181500,3365000,-1816500,-35.1
"Rosen","135146553",5101500,1550000,-3551500,-69.6
"Steiner83","184414321",4497000,2300000,-2197000,-48.9
"Tassadar","669183938",4417000,4500000,83000,1.9
"DarthJarJar","452461362",4410500,4350000,-60500,-1.4
"SjayB","937411436",4403500,2175000,-2228500,-50.6
"Dobfi","543535531",4322000,3650000,-672000,-15.5
"Burrock Alshain","225746713",4271000,2017500,-2253500,-52.8
"Warshade","815859959",4167500,4660000,492500,11.8
"DerMod","442821643",3917500,3877500,-40000,-1
"APE4711","451595638",3764500,2460000,-1304500,-34.7
"Denny","222474987",3736500,3000000,-736500,-19.7
"ChrisAtom","345268356",3543500,4500000,956500,27
"Dovahkiin","431699179",3528000,3600000,72000,2
"kado","874216638",3473500,2400000,-1073500,-30.9
"BΛ Schl8er","911254934",3460500,2040000,-1420500,-41
"Ado the One","123322676",3382500,1802500,-1580000,-46.7
"Schpucky","912624274",3345500,4425000,1079500,32.3
"VH Andarias","222152243",3310000,3030000,-280000,-8.5
"Sorzus Syn","721767943",3203500,3465000,261500,8.2
"nemesis","253341728",3158500,2002500,-1156000,-36.6
"Oxla","689238935",3044000,2550000,-494000,-16.2
"Blackbeduin","878326755",2873000,2110000,-763000,-26.6
"Maxim","916127498",2633500,1520000,-1113500,-42.3
"Pathja","226191337",2620000,2850000,230000,8.8
"HeteroMain","174495853",2583000,2700000,117000,4.5
"KGJ Black","351611246",2326500,1797500,-529000,-22.7
"BΛ Dipech","224956394",2260000,1775000,-485000,-21.5
"AnakinSkywalker","699293926",2175000,1705000,-470000,-21.6
"Operator","635613754",2172500,2050000,-122500,-5.6
"Orti der Zweite","373292463",2026000,1450000,-576000,-28.4
"Gul Ski","941576198",2020000,2100000,80000,4
"Imperator","314986458",2013000,1670000,-343000,-17
"Hammel90","135841859",1978500,1462500,-516000,-26.1
"Vader1009","212864995",1896000,2100000,204000,10.8
"Geilo Rain","419931662",1293500,1495000,201500,15.6
