"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Orti","433593983",11030500,11390000,359500,3.3
"OutOfSync","283623251",6722000,6570000,-152000,-2.3
"KGJ Charon","142491448",5846000,6300000,454000,7.8
"daschau","226855656",5716500,5617500,-99000,-1.7
"Kain","522872321",4655000,4950000,295000,6.3
"Fuchsvox","641514839",5842000,4365000,-1477000,-25.3
"Rex47","798815731",4195500,4162500,-33000,-0.8
"Pax One","543791837",5459000,4065000,-1394000,-25.5
"MstrGlnz","799351711",5492000,3900000,-1592000,-29
"Robby","522696616",4360000,3900000,-460000,-10.6
"Schpucky","912624274",3327500,3900000,572500,17.2
"DarthJarJar","452461362",3578500,3750000,171500,4.8
"Dovahkiin","431699179",3410500,3600000,189500,5.6
"Schwede","317391345",7500000,3360000,-4140000,-55.2
"Tassadar","669183938",2912000,3000000,88000,3
"ChrisAtom","345268356",3526000,3000000,-526000,-14.9
"Denny","222474987",3653000,2955000,-698000,-19.1
"Boss Tuka","672545795",5699000,2900000,-2799000,-49.1
"Burrock Alshain","225746713",2272500,2700000,427500,18.8
"VH Andarias","222152243",2635500,2465000,-170500,-6.5
"HeteroMain","174495853",2300500,2400000,99500,4.3
"MadDevil","195912141",4557500,2360000,-2197500,-48.2
"APE4711","451595638",2286500,2340000,53500,2.3
"Bobstar","266544178",3530000,2315000,-1215000,-34.4
"Der Wookietreiber","546687834",5735500,2310000,-3425500,-59.7
"DerMod","442821643",2550500,2157500,-393000,-15.4
"Rosen","135146553",4647500,2025000,-2622500,-56.4
"Blackbeduin","878326755",2621000,2020000,-601000,-22.9
"BΛ Schl8er","911254934",3041500,1925000,-1116500,-36.7
"Imperator","314986458",2012000,1880000,-132000,-6.6
"kado","874216638",1937000,1800000,-137000,-7.1
"Steiner83","184414321",4312500,1800000,-2512500,-58.3
"Gul Ski","941576198",1781000,1800000,19000,1.1
"Vader1009","212864995",1779000,1745000,-34000,-1.9
"Oxla","689238935",2285000,1745000,-540000,-23.6
"Ado the One","123322676",2847000,1725000,-1122000,-39.4
"Operator","635613754",1886500,1650000,-236500,-12.5
"KGJ Black","351611246",2267500,1605000,-662500,-29.2
"BΛ Dipech","224956394",2258500,1535000,-723500,-32
"nemesis","253341728",2576000,1485000,-1091000,-42.4
"AnakinSkywalker","699293926",1565500,1320000,-245500,-15.7
"Maxim","916127498",2117000,1180000,-937000,-44.3
"Geilo Rain","419931662",1161500,1152500,-9000,-0.8
"Hammel90","135841859",1709000,1125000,-584000,-34.2
"SjayB","937411436",2653500,0,-2653500,-100
"Dobfi","543535531",2362500,,,
"Pathja","226191337",2272500,,,
"Sorzus Syn","721767943",2085000,,,
"Darthösi","359794261",5901500,,,
