"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Okul Grana Tapfel","639415991",13157000,12840000,-317000,-2.4
"OutOfSync","283623251",11038000,12600000,1562000,14.2
"Orti","433593983",11428000,11565000,137000,1.2
"KGJ Charon","142491448",8832000,10620000,1788000,20.2
"Katan","781558378",9806000,10500000,694000,7.1
"Kain","522872321",7561500,8250000,688500,9.1
"daschau","226855656",7718000,7897500,179500,2.3
"MstrGlnz","799351711",7763500,7800000,36500,0.5
"Fuchsvox","641514839",8197500,7702500,-495000,-6
"Robby","522696616",7901000,7522500,-378500,-4.8
"Darthösi","359794261",7763500,6210000,-1553500,-20
"Pax One","543791837",6420000,5565000,-855000,-13.3
"Schwede","317391345",9852000,5340000,-4512000,-45.8
"MadDevil","195912141",5359500,5137500,-222000,-4.1
"Der Wookietreiber","546687834",7719000,5100000,-2619000,-33.9
"Burrock Alshain","225746713",4278000,5025000,747000,17.5
"Warshade","815859959",4173500,4950000,776500,18.6
"ChrisAtom","345268356",3608000,4650000,1042000,28.9
"DarthJarJar","452461362",4608500,4650000,41500,0.9
"Tassadar","669183938",4420500,4500000,79500,1.8
"Sorzus Syn","721767943",3948000,4492500,544500,13.8
"Boss Tuka","672545795",7015500,4460000,-2555500,-36.4
"Schpucky","912624274",3348000,4350000,1002000,29.9
"DerMod","442821643",3919000,4132500,213500,5.4
"Pathja","226191337",3844500,4050000,205500,5.3
"Dobfi","543535531",4609500,3975000,-634500,-13.8
"Bobstar","266544178",5427000,3900000,-1527000,-28.1
"Vader1009","212864995",4098500,3865000,-233500,-5.7
"Dovahkiin","431699179",3590000,3750000,160000,4.5
"APE4711","451595638",3769000,3675000,-94000,-2.5
"Denny","222474987",3748000,3600000,-148000,-3.9
"VH Andarias","222152243",3783000,3495000,-288000,-7.6
"kado","874216638",3483500,3450000,-33500,-1
"HeteroMain","174495853",3216500,3150000,-66500,-2.1
"SjayB","937411436",4465000,3030000,-1435000,-32.1
"Geilo Rain","419931662",3962500,3010000,-952500,-24
"Oxla","689238935",3109000,2850000,-259000,-8.3
"Rosen","135146553",5107000,2782500,-2324500,-45.5
"Steiner83","184414321",4735500,2400000,-2335500,-49.3
"BΛ Schl8er","911254934",3935000,2400000,-1535000,-39
"Gul Ski","941576198",2576500,2400000,-176500,-6.9
"Operator","635613754",2662000,2325000,-337000,-12.7
"Blackbeduin","878326755",2981500,2305000,-676500,-22.7
"nemesis","253341728",3430500,2175000,-1255500,-36.6
"KGJ Black","351611246",2808000,1817500,-990500,-35.3
"AnakinSkywalker","699293926",3642500,1760000,-1882500,-51.7
"BΛ Dipech","224956394",2269500,1570000,-699500,-30.8
"Maxim","916127498",2641500,1555000,-1086500,-41.1
"Hammel90","135841859",1980500,1470000,-510500,-25.8
"Ado the One","123322676",3391000,300000,-3091000,-91.2
