"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"ChrisAtom","345268356",3615500,4650000,1034500,28.6
"Schpucky","912624274",3352500,4260000,907500,27.1
"KGJ Charon","142491448",8831500,10500000,1668500,18.9
"Warshade","815859959",4175500,4950000,774500,18.5
"OutOfSync","283623251",11082500,12900000,1817500,16.4
"Sorzus Syn","721767943",3947500,4582500,635000,16.1
"Kain","522872321",7561000,8250000,689000,9.1
"Burrock Alshain","225746713",4686500,5085000,398500,8.5
"APE4711","451595638",3769000,4050000,281000,7.5
"Pathja","226191337",3844000,4090000,246000,6.4
"DerMod","442821643",3919000,4147500,228500,5.8
"Katan","781558378",9806500,10320000,513500,5.2
"Okul Grana Tapfel","639415991",13157500,13800000,642500,4.9
"Dovahkiin","431699179",4008000,4200000,192000,4.8
"daschau","226855656",8374000,8767500,393500,4.7
"MstrGlnz","799351711",7763000,8100000,337000,4.3
"HeteroMain","174495853",3487000,3600000,113000,3.2
"DarthJarJar","452461362",4588500,4650000,61500,1.3
"Orti","433593983",11439500,11580000,140500,1.2
"Vader1009","212864995",4105000,4075000,-30000,-0.7
"Geilo Rain","419931662",3964000,3930000,-34000,-0.9
"Blackbeduin","878326755",2995500,2925000,-70500,-2.4
"Tassadar","669183938",4632000,4500000,-132000,-2.8
"Robby","522696616",7904500,7650000,-254500,-3.2
"Denny","222474987",3811500,3600000,-211500,-5.5
"VH Andarias","222152243",3788500,3545000,-243500,-6.4
"Gul Ski","941576198",2578000,2400000,-178000,-6.9
"kado","874216638",3565500,3300000,-265500,-7.4
"Dobfi","543535531",4613500,4225000,-388500,-8.4
"Beskarschmied","689238935",3109500,2782500,-327000,-10.5
"Pax One","543791837",6419000,5610000,-809000,-12.6
"MadDevil","195912141",6236500,5167500,-1069000,-17.1
"Darthösi","359794261",7769500,6090000,-1679500,-21.6
"Der Wookietreiber","546687834",9411500,7252500,-2159000,-22.9
"Operator","635613754",2805000,2105000,-700000,-25
"Bobstar","266544178",5427500,4020000,-1407500,-25.9
"Hammel90","135841859",1980500,1445000,-535500,-27
"BΛ Dipech","224956394",2269500,1645000,-624500,-27.5
"SjayB","937411436",4483000,3142500,-1340500,-29.9
"KGJ Black","351611246",2809500,1967500,-842000,-30
"Boss Tuka","672545795",7038500,4920000,-2118500,-30.1
"Schwede","317391345",9856000,6592500,-3263500,-33.1
"Ado the One","123322676",3390000,2190000,-1200000,-35.4
"Rosen","135146553",5108000,3127500,-1980500,-38.8
"nemesis","253341728",3612500,2175000,-1437500,-39.8
"Maxim","916127498",2666000,1600000,-1066000,-40
"AnakinSkywalker","699293926",4089000,2377500,-1711500,-41.9
"BΛ Schl8er","911254934",3941500,2280000,-1661500,-42.2
"Fuchsvox","641514839",8208000,4597500,-3610500,-44
"Steiner83","184414321",4735000,2400000,-2335000,-49.3
