"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Orti","433593983",10128500,10350000,221500,2.2
"LePiKnight","739753451",4720000,4950000,230000,4.9
"Fuchsvox","641514839",4256500,4025000,-231500,-5.4
"Robby","522696616",3521500,3750000,228500,6.5
"OutOfSync","283623251",4012000,3445000,-567000,-14.1
"Kain","522872321",2749500,3300000,550500,20
"MstrGlnz","799351711",3028000,3300000,272000,9
"daschau","226855656",4966500,3260000,-1706500,-34.4
"Rex47","798815731",3694500,3120000,-574500,-15.6
"Pax One","543791837",4181500,2717500,-1464000,-35
"ChrisAtom","345268356",2471500,2700000,228500,9.2
"Schwede","317391345",2523500,2565000,41500,1.6
"Blackbeduin","878326755",2619500,2550000,-69500,-2.7
"Schpucky","912624274",2235000,2400000,165000,7.4
"Boss Tuka","672545795",4655500,2397500,-2258000,-48.5
"Burrock Alshain","225746713",2047500,2355000,307500,15
"VH Andarias","222152243",1962500,2325000,362500,18.5
"Der Wookietreiber","546687834",3962000,2175000,-1787000,-45.1
"APE4711","451595638",2189000,2020000,-169000,-7.7
"DerMod","442821643",2075000,1955000,-120000,-5.8
"Bobstar","266544178",2454500,1840000,-614500,-25
"HeteroMain","174495853",1691000,1800000,109000,6.4
"DarthJarJar","452461362",1943000,1800000,-143000,-7.4
"Tassadar","669183938",1704000,1765000,61000,3.6
"nemesis","253341728",1994000,1735000,-259000,-13
"Ado the One","123322676",2285000,1715000,-570000,-24.9
"BΛ Schl8er","911254934",2177000,1670000,-507000,-23.3
"KGJ Black","351611246",2213000,1665000,-548000,-24.8
"Oxla","689238935",2180000,1557500,-622500,-28.6
"BΛ Dipech","224956394",2206000,1545000,-661000,-30
"Dovahkiin","431699179",1933500,1500000,-433500,-22.4
"MadDevil","195912141",2220500,1450000,-770500,-34.7
"Denny","222474987",2146500,1440000,-706500,-32.9
"Gul Ski","941576198",1208000,1435000,227000,18.8
"Orti der Zweite","373292463",1478000,1350000,-128000,-8.7
"SjayB","937411436",1486000,1285000,-201000,-13.5
"Ol Kilia","315756931",3139000,1240000,-1899000,-60.5
"kado","874216638",1276000,1200000,-76000,-6
"Vader1009","212864995",1007000,1155000,148000,14.7
"Ren","286471215",1085500,1125000,39500,3.6
"KGJ Charon","142491448",2811500,1115000,-1696500,-60.3
"Steiner83","184414321",1489500,1115000,-374500,-25.1
"Rosen","135146553",2176000,1085000,-1091000,-50.1
"Operator","635613754",1332500,905000,-427500,-32.1
"Maxim","916127498",1835500,875000,-960500,-52.3
"AnakinSkywalker","699293926",1268500,750000,-518500,-40.9
"Placro","349942945",1394000,30000,-1364000,-97.8
"Imperator","314986458",1720000,0,-1720000,-100
