"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Orti","433593983",13565500,13620000,54500,0.4
"OutOfSync","283623251",11573500,11295000,-278500,-2.4
"Robby","522696616",11446000,10800000,-646000,-5.6
"Katan","781558378",11222000,10800000,-422000,-3.8
"MstrGlnz","799351711",11232000,10200000,-1032000,-9.2
"Fuchsvox","641514839",12066000,10065000,-2001000,-16.6
"daschau","226855656",9793500,9600000,-193500,-2
"Kain","522872321",9574500,9150000,-424500,-4.4
"DarthJarJar","452461362",7948000,8700000,752000,9.5
"Schwede","317391345",11627500,8460000,-3167500,-27.2
"Pax One","543791837",9271500,8395000,-876500,-9.5
"Tassadar","669183938",8072500,8100000,27500,0.3
"Dobfi","543535531",8231500,7860000,-371500,-4.5
"Boss Tuka","672545795",11163000,7635000,-3528000,-31.6
"Pathja","226191337",7165500,7500000,334500,4.7
"Sorzus Syn","721767943",7646500,7500000,-146500,-1.9
"MadDevil","195912141",8802000,7260000,-1542000,-17.5
"Der Wookietreiber","546687834",11347500,7250000,-4097500,-36.1
"Geilo Rain","419931662",7190000,7125000,-65000,-0.9
"Darthösi","359794261",8236000,6532500,-1703500,-20.7
"KGJ Charon","142491448",10830500,6300000,-4530500,-41.8
"Burrock Alshain","225746713",5352500,5632500,280000,5.2
"ChrisAtom","345268356",5653500,5550000,-103500,-1.8
"Gul Ski","941576198",5241500,5400000,158500,3
"Warshade","815859959",4834500,5400000,565500,11.7
"Dovahkiin","431699179",4498500,5045000,546500,12.1
"Beskarschmied","689238935",5557500,4950000,-607500,-10.9
"Schpucky","912624274",3371500,4800000,1428500,42.4
"Bobstar","266544178",6665500,4755000,-1910500,-28.7
"kado","874216638",4211000,4500000,289000,6.9
"BΛ Schl8er","911254934",5563000,4325000,-1238000,-22.3
"Rosen","135146553",8257500,4080000,-4177500,-50.6
"APE4711","451595638",3986500,4050000,63500,1.6
"Vader1009","212864995",7119500,3600000,-3519500,-49.4
"HeteroMain","174495853",6478000,3600000,-2878000,-44.4
"SjayB","937411436",7186500,3600000,-3586500,-49.9
"Ado the One","123322676",5084000,3485000,-1599000,-31.5
"Steiner83","184414321",5658000,3450000,-2208000,-39
"DerMod","442821643",4033000,3386250,-646750,-16
"BΛ Dipech","224956394",4331000,3385000,-946000,-21.8
"Blackbeduin","878326755",4018500,3327500,-691000,-17.2
"Operator","635613754",3260000,3045000,-215000,-6.6
"Maxim","916127498",3389500,2615000,-774500,-22.8
"nemesis","253341728",3843000,2605000,-1238000,-32.2
"Hammel90","135841859",2703500,2550000,-153500,-5.7
"KGJ Black","351611246",3714000,2320000,-1394000,-37.5
"VH Andarias","222152243",4845500,0,-4845500,-100
"Denny","222474987",4380500,0,-4380500,-100
"AnakinSkywalker","699293926",5551000,0,-5551000,-100
"Okul Grana Tapfel","639415991",13457500,0,-13457500,-100
