"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Orti","433593983",13572500,12840000,-732500,-5.4
"Katan","781558378",11240000,12600000,1360000,12.1
"KGJ Charon","142491448",10852500,12465000,1612500,14.9
"OutOfSync","283623251",11576500,12270000,693500,6
"Robby","522696616",11445500,11400000,-45500,-0.4
"daschau","226855656",10549000,10905000,356000,3.4
"Fuchsvox","641514839",12156000,10575000,-1581000,-13
"Tassadar","669183938",10168500,10500000,331500,3.3
"Kain","522872321",11058000,9900000,-1158000,-10.5
"MadDevil","195912141",10737000,9120000,-1617000,-15.1
"DarthJarJar","452461362",8923000,8700000,-223000,-2.5
"Boss Tuka","672545795",12637500,8655000,-3982500,-31.5
"SjayB","937411436",8214000,8152500,-61500,-0.7
"Der Wookietreiber","546687834",11348000,8085000,-3263000,-28.8
"HeteroMain","174495853",6479500,7800000,1320500,20.4
"Dobfi","543535531",8231500,7735000,-496500,-6
"Pathja","226191337",7165500,7500000,334500,4.7
"Sorzus Syn","721767943",7648500,7500000,-148500,-1.9
"kado","874216638",6911500,7200000,288500,4.2
"MstrGlnz","799351711",11231000,7200000,-4031000,-35.9
"Schwede","317391345",11628500,6975000,-4653500,-40
"ChrisAtom","345268356",6033000,6360000,327000,5.4
"Vader1009","212864995",7119500,6300000,-819500,-11.5
"Pax One","543791837",11348000,6300000,-5048000,-44.5
"Gul Ski","941576198",6142500,6300000,157500,2.6
"Darthösi","359794261",8236500,5822500,-2414000,-29.3
"Dovahkiin","431699179",5279000,5700000,421000,8
"Burrock Alshain","225746713",5352000,5452500,100500,1.9
"Warshade","815859959",4834500,5452500,618000,12.8
"KGJ Black","351611246",6345000,5212500,-1132500,-17.8
"BΛ Dipech","224956394",5192000,5100000,-92000,-1.8
"Beskarschmied","689238935",5575000,5080000,-495000,-8.9
"Ado the One","123322676",8228000,4750000,-3478000,-42.3
"Rosen","135146553",8922500,4240000,-4682500,-52.5
"BΛ Schl8er","911254934",5802500,4170000,-1632500,-28.1
"Blackbeduin","878326755",4687500,4100000,-587500,-12.5
"APE4711","451595638",4427000,3720000,-707000,-16
"nemesis","253341728",6403000,3667500,-2735500,-42.7
"Hammel90","135841859",5387500,3600000,-1787500,-33.2
"Steiner83","184414321",5967000,3450000,-2517000,-42.2
"Operator","635613754",4238500,3330000,-908500,-21.4
"Denny","222474987",4459500,3290000,-1169500,-26.2
"VH Andarias","222152243",4847000,3150000,-1697000,-35
"DerMod","442821643",4529000,3150000,-1379000,-30.4
"Maxim","916127498",3395000,2792500,-602500,-17.7
"Orti der Zweite","373292463",2035000,652500,-1382500,-67.9
"AnakinSkywalker","699293926",5613500,600000,-5013500,-89.3
