"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Robby","522696616",1761500,2700000,938500,53.3
"Kain","522872321",2270000,3285000,1015000,44.7
"VH Andarias","222152243",1873500,2255000,381500,20.4
"Burrock Alshain","225746713",1651500,1980000,328500,19.9
"ChrisAtom","345268356",2165500,2550000,384500,17.8
"Vader1009","212864995",759000,865000,106000,14
"DarthJarJar","452461362",1858000,2100000,242000,13
"Tassadar","669183938",1536500,1715000,178500,11.6
"MstrGlnz","799351711",2905000,3225000,320000,11
"LePiKnight","739753451",3532000,3900000,368000,10.4
"Gul Ski","941576198",1210000,1322500,112500,9.3
"Starlord","584628123",5040000,5482500,442500,8.8
"Orti","433593983",9024000,9300000,276000,3.1
"KGJ Charon","142491448",2259000,2315000,56000,2.5
"HeteroMain","174495853",1695000,1715000,20000,1.2
"Dovahkiin","431699179",1162500,0,,
"Ol Kilia","315756931",2959500,0,,
"Blackbeduin","878326755",2479500,2415000,-64500,-2.6
"Ren","286471215",836000,810000,-26000,-3.1
"Schpucky","912624274",1622500,1500000,-122500,-7.6
"daschau","226855656",4953500,4517500,-436000,-8.8
"DerMod","442821643",2038500,1715000,-323500,-15.9
"APE4711","451595638",2072500,1715000,-357500,-17.2
"kado","874216638",1278000,1050000,-228000,-17.8
"Oxla","689238935",1878500,1517500,-361000,-19.2
"Ado the One","123322676",2252500,1795000,-457500,-20.3
"nemesis","253341728",1982500,1580000,-402500,-20.3
"Rex47","798815731",3645500,2880000,-765500,-21
"Maxim","916127498",1266500,985000,-281500,-22.2
"Pax One","543791837",3936500,2950000,-986500,-25.1
"KGJ Black","351611246",2160000,1615000,-545000,-25.2
"OutOfSync","283623251",3722000,2785000,-937000,-25.2
"AnakinSkywalker","699293926",1270500,945000,-325500,-25.6
"BΛ Schl8er","911254934",2048500,1497500,-551000,-26.9
"Bobstar","266544178",2245500,1612500,-633000,-28.2
"Rosen","135146553",2026000,1432500,-593500,-29.3
"Schwede","317391345",2349000,1650000,-699000,-29.8
"BΛ Dipech","224956394",2154000,1480000,-674000,-31.3
"Steiner83","184414321",1490500,1020000,-470500,-31.6
"Fuchsvox","641514839",4166000,2812500,-1353500,-32.5
"MadDevil","195912141",2222500,1441250,-781250,-35.2
"Imperator","314986458",1514500,940000,-574500,-37.9
"Der Wookietreiber","546687834",3730000,2185000,-1545000,-41.4
"Denny","222474987",1824500,1060000,-764500,-41.9
"Amboss","951725323",753500,337500,-416000,-55.2
"Boss Tuka","672545795",4411000,1965000,-2446000,-55.5
"Operator","635613754",1332000,532500,-799500,-60
"SjayB","937411436",1491500,550000,-941500,-63.1
"Placro","349942945",1400000,300000,-1100000,-78.6
