"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Orti","433593983",11421000,11340000,-81000,-0.7
"Katan","781558378",9582500,,,
"KGJ Charon","142491448",8823500,9322500,499000,5.7
"OutOfSync","283623251",8692000,9900000,1208000,13.9
"Robby","522696616",7878500,8085000,206500,2.6
"Darthösi","359794261",7754500,6090000,-1664500,-21.5
"MstrGlnz","799351711",7749500,8100000,350500,4.5
"daschau","226855656",7717500,7822500,105000,1.4
"Schwede","317391345",7500000,4852500,-2647500,-35.3
"Der Wookietreiber","546687834",7489000,5070000,-2419000,-32.3
"Boss Tuka","672545795",7011500,4575000,-2436500,-34.8
"Fuchsvox","641514839",6164000,5205000,-959000,-15.6
"Pax One","543791837",5578000,5767500,189500,3.4
"Kain","522872321",5490500,5850000,359500,6.5
"Bobstar","266544178",5388500,4095000,-1293500,-24
"MadDevil","195912141",5184500,4432500,-752000,-14.5
"Rosen","135146553",5103500,3047500,-2056000,-40.3
"Steiner83","184414321",4714500,2400000,-2314500,-49.1
"Dobfi","543535531",4610000,4170000,-440000,-9.5
"SjayB","937411436",4464000,3135000,-1329000,-29.8
"Tassadar","669183938",4415000,4500000,85000,1.9
"DarthJarJar","452461362",4413000,4650000,237000,5.4
"Burrock Alshain","225746713",4272500,5100000,827500,19.4
"Warshade","815859959",4155000,4725000,570000,13.7
"Sorzus Syn","721767943",3948500,3750000,-198500,-5
"BΛ Schl8er","911254934",3930000,2050000,-1880000,-47.8
"DerMod","442821643",3918500,4050000,131500,3.4
"Pathja","226191337",3839500,4050000,210500,5.5
"VH Andarias","222152243",3780000,3545000,-235000,-6.2
"APE4711","451595638",3765000,3405000,-360000,-9.6
"Denny","222474987",3737000,3295000,-442000,-11.8
"AnakinSkywalker","699293926",3636000,2230000,-1406000,-38.7
"ChrisAtom","345268356",3606000,4650000,1044000,29
"Dovahkiin","431699179",3529500,1357500,-2172000,-61.5
"kado","874216638",3476000,2550000,-926000,-26.6
"Ado the One","123322676",3387000,1795000,-1592000,-47
"Schpucky","912624274",3347000,4425000,1078000,32.2
"HeteroMain","174495853",3195000,2700000,-495000,-15.5
"nemesis","253341728",3156000,1630000,-1526000,-48.4
"Oxla","689238935",3073000,2850000,-223000,-7.3
"Blackbeduin","878326755",2875500,1895000,-980500,-34.1
"Vader1009","212864995",2817500,3000000,182500,6.5
"KGJ Black","351611246",2802500,1745000,-1057500,-37.7
"Maxim","916127498",2635000,1573750,-1061250,-40.3
"Gul Ski","941576198",2417500,2100000,-317500,-13.1
"BΛ Dipech","224956394",2261000,1685000,-576000,-25.5
"Operator","635613754",2176500,2205000,28500,1.3
"Geilo Rain","419931662",2155500,2060000,-95500,-4.4
"Hammel90","135841859",1979000,1260000,-719000,-36.3
