"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Okul Grana Tapfel","639415991",13163000,13500000,337000,2.6
"Orti","433593983",11438000,11505000,67000,0.6
"OutOfSync","283623251",11090500,12900000,1809500,16.3
"Schwede","317391345",9857500,6847500,-3010000,-30.5
"Katan","781558378",9790500,11100000,1309500,13.4
"Der Wookietreiber","546687834",9412500,6607500,-2805000,-29.8
"Boss Tuka","672545795",9177500,5635000,-3542500,-38.6
"KGJ Charon","142491448",8825500,10500000,1674500,19
"daschau","226855656",8361500,8767500,406000,4.9
"Fuchsvox","641514839",8207000,5640000,-2567000,-31.3
"Robby","522696616",7902500,7500000,-402500,-5.1
"Darthösi","359794261",7770000,5825000,-1945000,-25
"MstrGlnz","799351711",7762500,7800000,37500,0.5
"Kain","522872321",7561500,6300000,-1261500,-16.7
"MadDevil","195912141",6859000,4720000,-2139000,-31.2
"Vader1009","212864995",6595000,7200000,605000,9.2
"Pax One","543791837",6420500,5745000,-675500,-10.5
"Bobstar","266544178",5435500,3915000,-1520500,-28
"DarthJarJar","452461362",5228500,5400000,171500,3.3
"Rosen","135146553",5108000,3000000,-2108000,-41.3
"VH Andarias","222152243",4849500,4190000,-659500,-13.6
"Warshade","815859959",4749000,5340000,591000,12.4
"Steiner83","184414321",4734000,2580000,-2154000,-45.5
"Burrock Alshain","225746713",4686500,4962500,276000,5.9
"Tassadar","669183938",4631500,4800000,168500,3.6
"Dobfi","543535531",4613500,4342500,-271000,-5.9
"Pathja","226191337",4517000,4120000,-397000,-8.8
"SjayB","937411436",4483500,0,-4483500,-100
"ChrisAtom","345268356",4182000,4717500,535500,12.8
"AnakinSkywalker","699293926",4091000,2400000,-1691000,-41.3
"Sorzus Syn","721767943",4084500,5865000,1780500,43.6
"Dovahkiin","431699179",4042000,4200000,158000,3.9
"Geilo Rain","419931662",3965500,3930000,-35500,-0.9
"BΛ Schl8er","911254934",3942500,2332500,-1610000,-40.8
"DerMod","442821643",3919000,4132500,213500,5.4
"nemesis","253341728",3819000,2450000,-1369000,-35.8
"Denny","222474987",3811500,3667500,-144000,-3.8
"APE4711","451595638",3769500,4050000,280500,7.4
"Ado the One","123322676",3656500,2295000,-1361500,-37.2
"HeteroMain","174495853",3614500,3600000,-14500,-0.4
"kado","874216638",3563500,3300000,-263500,-7.4
"Blackbeduin","878326755",3539500,2945000,-594500,-16.8
"Schpucky","912624274",3368500,4415000,1046500,31.1
"Operator","635613754",3234500,2360000,-874500,-27
"KGJ Black","351611246",3142000,2010000,-1132000,-36
"BΛ Dipech","224956394",3134000,1775000,-1359000,-43.4
"Beskarschmied","689238935",3110000,3300000,190000,6.1
"Maxim","916127498",2665000,1707500,-957500,-35.9
"Gul Ski","941576198",2539500,2560000,20500,0.8
"Hammel90","135841859",1984000,1590000,-394000,-19.9
