"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Schpucky","912624274",3374000,5350000,1976000,58.6
"HeteroMain","174495853",6479500,7800000,1320500,20.4
"Dovahkiin","431699179",4504500,5400000,895500,19.9
"KGJ Charon","142491448",10851000,12405000,1554000,14.3
"Katan","781558378",11241500,12600000,1358500,12.1
"Sorzus Syn","721767943",7650500,8182500,532000,7
"OutOfSync","283623251",11575500,12300000,724500,6.3
"Pathja","226191337",7165500,7500000,334500,4.7
"kado","874216638",6911000,7200000,289000,4.2
"Tassadar","669183938",8679500,9015000,335500,3.9
"Gul Ski","941576198",5242500,5400000,157500,3
"Hammel90","135841859",5384000,5527500,143500,2.7
"Vader1009","212864995",7119000,7200000,81000,1.1
"DarthJarJar","452461362",8926500,9000000,73500,0.8
"daschau","226855656",10498000,10560000,62000,0.6
"Kain","522872321",11057500,11100000,42500,0.4
"Orti","433593983",13559000,13590000,31000,0.2
"DerMod","442821643",4534000,4537500,3500,0.1
"BΛ Dipech","224956394",5192000,5065000,-127000,-2.4
"Burrock Alshain","225746713",5352500,5150000,-202500,-3.8
"Robby","522696616",11444500,11000000,-444500,-3.9
"APE4711","451595638",4221000,4050000,-171000,-4.1
"Dobfi","543535531",8231500,7875000,-356500,-4.3
"Geilo Rain","419931662",7190500,6820000,-370500,-5.2
"ChrisAtom","345268356",6032000,5527500,-504500,-8.4
"SjayB","937411436",8214000,7500000,-714000,-8.7
"Operator","635613754",3300500,3010000,-290500,-8.8
"MstrGlnz","799351711",11232500,10200000,-1032500,-9.2
"MadDevil","195912141",9156500,7942500,-1214000,-13.3
"Pax One","543791837",9866000,8475000,-1391000,-14.1
"Blackbeduin","878326755",4685500,3950000,-735500,-15.7
"Maxim","916127498",3390500,2825000,-565500,-16.7
"KGJ Black","351611246",6342000,5190000,-1152000,-18.2
"Beskarschmied","689238935",5574000,4450000,-1124000,-20.2
"Denny","222474987",4399000,3300000,-1099000,-25
"Fuchsvox","641514839",12158000,8955000,-3203000,-26.3
"Orti der Zweite","373292463",2035000,1500000,-535000,-26.3
"Der Wookietreiber","546687834",11348000,8220000,-3128000,-27.6
"Darthösi","359794261",8236000,5640000,-2596000,-31.5
"VH Andarias","222152243",4847000,3305000,-1542000,-31.8
"Boss Tuka","672545795",12636500,8520000,-4116500,-32.6
"BΛ Schl8er","911254934",5802000,3867500,-1934500,-33.3
"Steiner83","184414321",5658000,3450000,-2208000,-39
"AnakinSkywalker","699293926",5613500,3000000,-2613500,-46.6
"nemesis","253341728",6402500,3420000,-2982500,-46.6
"Ado the One","123322676",7628500,3920000,-3708500,-48.6
"Rosen","135146553",8520500,4380000,-4140500,-48.6
"Bobstar","266544178",9026500,4020000,-5006500,-55.5
"Schwede","317391345",11626500,5055000,-6571500,-56.5
"Warshade","815859959",4833500,300000,-4533500,-93.8
