"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"OutOfSync","283623251",11072500,12900000,1827500,16.5
"Orti","433593983",11792000,12600000,808000,6.9
"Katan","781558378",9806000,11250000,1444000,14.7
"daschau","226855656",8586000,8782500,196500,2.3
"KGJ Charon","142491448",8832500,8100000,-732500,-8.3
"Kain","522872321",7564000,7950000,386000,5.1
"Pax One","543791837",7878500,7705000,-173500,-2.2
"Fuchsvox","641514839",8211000,7665000,-546000,-6.6
"Schwede","317391345",9859500,7462500,-2397000,-24.3
"Tassadar","669183938",6676500,7200000,523500,7.8
"Vader1009","212864995",6632000,7200000,568000,8.6
"Okul Grana Tapfel","639415991",13164500,7200000,-5964500,-45.3
"Dobfi","543535531",6976500,7135000,158500,2.3
"Der Wookietreiber","546687834",9416000,7072500,-2343500,-24.9
"SjayB","937411436",6811000,6607500,-203500,-3
"Robby","522696616",7903500,6300000,-1603500,-20.3
"MstrGlnz","799351711",7758500,6300000,-1458500,-18.8
"Boss Tuka","672545795",9179000,6067500,-3111500,-33.9
"Darthösi","359794261",7772500,5722500,-2050000,-26.4
"MadDevil","195912141",6859000,5520000,-1339000,-19.5
"Warshade","815859959",4749000,5400000,651000,13.7
"Burrock Alshain","225746713",4690500,5182500,492000,10.5
"DarthJarJar","452461362",5244500,5100000,-144500,-2.8
"Dovahkiin","431699179",4392500,4745000,352500,8
"Sorzus Syn","721767943",4087500,4652500,565000,13.8
"ChrisAtom","345268356",4502500,4552500,50000,1.1
"kado","874216638",4205500,4500000,294500,7
"HeteroMain","174495853",3810000,4500000,690000,18.1
"Schpucky","912624274",3371000,4500000,1129000,33.5
"Pathja","226191337",4516500,4500000,-16500,-0.4
"Geilo Rain","419931662",4486000,4380000,-106000,-2.4
"DerMod","442821643",3984500,4282500,298000,7.5
"VH Andarias","222152243",4848500,4005000,-843500,-17.4
"APE4711","451595638",3769500,3952500,183000,4.9
"Bobstar","266544178",5660500,3615000,-2045500,-36.1
"Rosen","135146553",5274000,3492500,-1781500,-33.8
"Denny","222474987",4347500,3470000,-877500,-20.2
"Beskarschmied","689238935",3997500,3390000,-607500,-15.2
"BΛ Schl8er","911254934",4669000,3010000,-1659000,-35.5
"Gul Ski","941576198",2617500,2950000,332500,12.7
"Blackbeduin","878326755",3540500,2870000,-670500,-18.9
"Steiner83","184414321",4734000,2745000,-1989000,-42
"Operator","635613754",3236500,2745000,-491500,-15.2
"nemesis","253341728",3843500,2565000,-1278500,-33.3
"AnakinSkywalker","699293926",4092000,2400000,-1692000,-41.3
"BΛ Dipech","224956394",4305500,2330000,-1975500,-45.9
"KGJ Black","351611246",3159000,1830000,-1329000,-42.1
"Hammel90","135841859",2009500,1602500,-407000,-20.3
"Maxim","916127498",2665000,1312500,-1352500,-50.8
"Ado the One","123322676",3657000,1000000,-2657000,-72.7
